City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
East London,-33.0153,27.9116,62.33,51,13,6.76,ZA,1623380527
Hermanus,-34.4187,19.2345,55.9,78,36,8.63,ZA,1623380584
Xinzhi,36.4989,111.7047,84.81,44,76,3.0,CN,1623380585
Mataura,-46.1927,168.8643,49.35,81,92,1.36,NZ,1623380585
Cairns,-16.9167,145.7667,82.06,75,24,7.65,AU,1623380391
Ahvāz,31.3203,48.6693,88.38,11,0,13.6,IR,1623380468
Santa Marta,11.2408,-74.199,82.98,77,77,9.31,CO,1623380452
Baniachang,24.5167,91.3667,78.91,85,100,7.63,BD,1623380585
Cabo San Lucas,22.8909,-109.9124,89.82,61,89,8.23,MX,1623380586
Vestmannaeyjar,63.4427,-20.2734,47.08,88,100,14.18,IS,1623380586
Bredasdorp,-34.5322,20.0403,54.28,87,7,3.47,ZA,1623380586
Kalmunai,7.4167,81.8167,83.88,65,88,1.43,LK,1623380587
Hambantota,6.1241,81.1185,83.35,72,97,20.69,LK,1623380587
Saskylakh,71.9167,114.0833,53.82,63,95,11.1,RU,1623380587
Saint-Pierre,-21.3393,55.4781,70.57,83,0,21.85,RE,1623380588
Mackay,-21.15,149.2,74.68,36,29,5.44,AU,1623380588
Busselton,-33.65,115.3333,60.04,68,95,3.58,AU,1623380588
Pangnirtung,66.1451,-65.7125,28.98,91,88,4.61,CA,1623380588
Salalah,17.0151,54.0924,82.13,88,99,8.19,OM,1623380356
Thompson,55.7435,-97.8558,59.16,67,75,8.05,CA,1623380570
Ushuaia,-54.8,-68.3,34.52,93,100,9.57,AR,1623380496
Rikitea,-23.1203,-134.9692,73.15,72,100,17.9,PF,1623380439
Jamestown,42.097,-79.2353,73.04,60,1,10.36,US,1623380589
Beringovskiy,63.05,179.3167,37.15,97,100,5.35,RU,1623380589
Lebu,-37.6167,-73.65,51.85,71,100,2.98,CL,1623380590
Vaini,-21.2,-175.2,74.57,70,2,21.23,TO,1623380590
Tuktoyaktuk,69.4541,-133.0374,43.84,74,52,5.7,CA,1623380590
Provideniya,64.3833,-173.3,39.31,75,75,13.42,RU,1623380590
Saint Paul Harbor,57.79,-152.4072,47.71,87,90,14.97,US,1623380591
New Norfolk,-42.7826,147.0587,58.66,86,100,1.99,AU,1623380591
Pemangkat,1.1667,108.9667,81.19,78,100,2.73,ID,1623380591
Marang,5.2056,103.2059,81.5,73,99,4.76,MY,1623380592
Sangmélima,2.9333,11.9833,67.53,98,63,1.03,CM,1623380592
Cape Town,-33.9258,18.4232,56.12,100,75,3.44,ZA,1623380592
Puerto Escondido,15.85,-97.0667,76.03,73,90,8.05,MX,1623380592
Hobart,-42.8794,147.3294,59.02,96,90,1.99,AU,1623380593
Kanniyākumāri,8.0833,77.5667,82.65,75,100,18.48,IN,1623380593
Alingsås,57.9303,12.5335,61.36,99,73,5.21,SE,1623380593
